review,result
"tidak terlalu bagus di siang hari, spot terbagusnya bayar lagi",negative
Tempat bagus syg fotonya kemahalan kalo hrs 4000,negative
Lumayan bagus bisa menghilangkan lelah dari kerja seharian,positive
Tempatnya bagus,positive
Suasana yg sejuk dan spot foto yg bagus,positive
"Tempatnya sih lebih banyak yg bagus di bandung. Tapi di sana orangnya kreatif""",positive
B aja. Hanya pemandangan dan pengelolaannya sj yang bagus,positive
konsep bagus namun masih kurang memadai bagi wisatawan disabilitas,negative
Bagus pemandangan,positive
"Bagus, kreatif, pemberdayaan masyarakat untuk memanfaatkan lingkungannya",positive
cukup bagus tp sayang jalan nya yg exstreme,negative
Tempatnya bagus cuma sayang sedikit panas,positive
"Bagus buat fotoshoot aja , adem tmptnya",positive
Lumayan bagus view nya dan hrg murah,positive
view yg bagus untuk cuaca yg cerah tidak jika hujan,positive
Pemandangan bagus cocok untuk selfi. Untuk santai2.,positive
"Bagus, sedikit panas, pohonnya kurang rimbun...",positive
Bagus tempatnya cocok untuk tempat selfie👍👍👍👍👍👍 …,positive
Klo malam memang bagus untuk foto,positive
Ga bgtu bagus sperti yg ada di medsos,negative
Pemandangan yang bagus dan banyak spot poto,positive
Tempat lumayan bagus utk foto2,positive
Tempat wisata pemandangan alam yang bagus,positive
Lumayan bagus,positive
Masih Bagus Pinus asri.. JD levelnya di bawahnya,positive
Destinasi bagus infrastruktur jalan di tingkatkan,positive
Bagus utk piknik dgn klga,positive
Tempatnya bagus tapi kurang menarik,negative
Bagus,positive
Bagus utk wisata alam...,positive
Suasananya cukup bagus orang orangnya ramah,positive
Bagus 😎😎 …,positive
Bagus,positive
"Bagus, tempat wisata ketce aabizz",positive
Bagus view nya,positive
Bagus buat selfie,positive
Pemandangan bagus,positive
Lumayan bagus,positive
"tempatnya lumayan bagus,",positive
Lebih bagus kesini saat malam,positive
Sdh lumayan bagus,positive
Bagus,positive
Bagus..,positive
"Bagus viewnya, mantapp",positive
Bagus cukup buat rekĺeasi,positive
Penataan nya kurang bagus,negative
Lumayan bagus juga,positive
Tempatnya bagus,positive
Bagus pas sunset,positive
Bagus buat foto-foto,positive
Lumayan bagus,positive
Lumayan bagus kreatif,positive
Lumayan bagus,positive
Cukup bagus dan unik,positive
Cukup bagus,positive
Bagus buat refreshing.,positive
Cukup bagus,positive
Bagus,positive
Bagus untuk refressing..,positive
Bagus,positive
Bagus,positive
Bagus,positive
Bagus,positive
bagus,positive
Lumayang bagus,positive
Bagus,positive
Bagus,positive
bagus,positive
Bagus,positive
Bagus,positive
"""Kesini karena hubby ada event, tempat wisata yg lumayan adem, datangnya jelang sore.",positive
HTM 5rb cmiiw.,neutral
"Ada beberapa spot foto tematik yg bagus - bagus, lebih kece lagi jika difoto dengan jasa fotografi berbayar, 4rb per foto cmiiw.",positive
"Pas datang kemarin spot - spot foto agak rame jadinya antri agak lumayan panjang.""",positive
Tempat wisata dijogja yg spot fotonya lumayan keren sih lokasi adem bangeet yg mau fotonya bagus bisa sewa jada foto juga..,positive
"""Tempatnya bagus, cukup jauh ke pedalaman dg jalan yang masih dalam perbaikan saat kami datang ke sana, tiket masuk kebetulan free krn kami datang kepagian sekitar jam 6 dan belum ada org di bagian penjualan tiket",positive
Tiket masuk parkiran 5k untuk motor.,neutral
,positive
Sebaiknya bawa makanan krn disana hanya jual mie dan sejenisnya.,neutral
,positive
"Banyak spot foto untuk yang suka foto2, saran aja sebaiknya datang pas musim hujan, jd pemandangannya hijau, krn kalau datang pas musim kemarau pemandangannya gersang dan foto jd kurang menarik. Atau bisa datang di malam hari karena buka sampai jam 22.00, spot foto lebih menarik di malam hari krn di lengkapi lampu dan pemandangan dataran rendahnya seperti lautan bintang.. wort it utk liburan kelurga dg biaya yg sangat terjangkau.""",positive
"""Spot foto yang bagus dan pemanfaatan geopark yang baik dari pengelola sekitar membuat pengalaman saya disini lebih petualang.",positive
Kekurangan yang ada di tempat ini hanya ada di playground yang saya nilai cukup membahayakan karena disangga dengan kayu rapuh.,negative
Semoga pengelola segera memperbaiki hal ini.,positive
"Dari saya, 4/5""",neutral
"Pemandangannya bagus, sejuk dan asri, bersih dan nyaman, tiket masuknya aman dikantong, ada penjual makanan di dalamx, di beberapa spot foto  tersedia fotografer yang sangat membantu, lumayan murah tarifnya, 3000 rb per foto,",positive
Bagus tempatnya lumayan buat didatangi. Gak banyak ngabil foto sih,positive
"Bagus dan sejuk tempatnya, pas dateng weekday jadi sepi, biaya masuk per orang 5000 parkir motor 3000. Biaya setiap spot foto 2000. Ada juga jasa foto, perfoto 3000",positive
"Agak sepi sekarang, tapi menawarkan pemandangan yg bagus.",positive
Bagus terakhir dateng ke sana ada tukang foto di spot yang saya lampirkan ini jadi kalau ada pengunjung yang masuk frame mereka suruh minggir,positive
"View nya bagus,, Kalau mau foto di spot tertentu masuk cukup bayar 2.000 ambil file per foto 3.000",positive
"""Hutan pinus yg sejuk dengan beberapa spot foto yg lumayan bagus.",positive
Harus sabar antri klo mo foto 😀,neutral
"Siapkan fisik anda jika jarang berolahraga karena kondisi jalannya agak naik turun. …""",neutral
"Bagus pemandangannya, hutan pinusnya juga masih asri, udaranya sejuk, hutan pinusnya lumayan luas, dan spot-spot fotonya bagus, ada ayunanya, ada bangku dan semacam gazebo di hutannya, selain itu ada penjual makanan juga di hutan pinusnya, ada toilet umumnnya jadi ga usah khawatir kalau kebelet, dan yang penting juga ada musola di dekat pintu masuk atau keluar. Buat yang liburan di Yogyakarta bisa datang ke sini, lumayan jaraknya dari pusat Kota Yogyakarta, tapi sepadan dengan pemandangan yang di nikmati nanti di Hutan pinus ini. Tetap jaga kebersihan ya di hutan pinusnya, jangan buang sampah sembarangan karena sudah di sediakan tempat sampah di hutannya,, Jga hutan kita biar tetap hijau",positive
